FID,gis_id,ssc_code,ssc_name,lga_code,Total_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time_Vic,Total_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time_Vic,Total_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work_Vic,Total_Persons_Unemployed,Percentage_Persons_Unemployed,Percentage_Persons_Unemployed_Vic,Year
employment_suburb.fid-70a927cd_165b71c4c19_2900,28,SSC20028,Allendale,LGA22910,47,60.26,58.08,25,32.05,32.02,3,3.85,3.19,3,3.85,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2901,88,SSC20088,Avondale Heights,LGA25060,2930,58.84,58.08,1571,31.55,32.02,168,3.37,3.19,311,6.24,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2902,29,SSC20029,Allestree,LGA22410,36,61.02,58.08,23,38.98,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2903,2292,SSC22292,Somers,LGA25340,357,48.44,58.08,305,41.38,32.02,32,4.34,3.19,43,5.83,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2904,1328,SSC21328,Kew,LGA21110,7458,58.91,58.08,4197,33.15,32.02,345,2.73,3.19,659,5.21,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2905,36,SSC20036,Altona North,LGA23110,3043,61.77,58.08,1320,26.8,32.02,173,3.51,3.19,390,7.92,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2906,1990,SSC21990,Oakleigh South,LGA24970,2682,58.34,58.08,1486,32.33,32.02,148,3.22,3.19,281,6.11,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2907,2193,SSC22193,Rossbridge,LGA20260,7,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2908,1894,SSC21894,Neereman,LGA25430,15,83.33,58.08,3,16.67,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2909,2853,SSC22853,Wroxham,LGA22110,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_290a,248,SSC20248,Black Hill,LGA20570,550,53.55,58.08,373,36.32,32.02,38,3.7,3.19,66,6.43,6.71,2016
