FID,gis_id,ssc_code,ssc_name,lga_code,Total_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time_Vic,Total_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time_Vic,Total_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work_Vic,Total_Persons_Unemployed,Percentage_Persons_Unemployed,Percentage_Persons_Unemployed_Vic,Year
employment_suburb.fid-70a927cd_165b71c4c19_2e2e,1857,SSC21857,Nalinga,LGA22830,10,66.67,58.08,5,33.33,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e2f,1661,SSC21661,Metcalfe East,LGA25430,16,69.57,58.08,7,30.43,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e30,1876,SSC21876,Naroghid,LGA21830,19,46.34,58.08,16,39.02,32.02,3,7.32,3.19,3,7.32,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e31,2261,SSC22261,Shelford,LGA22490,69,57.98,58.08,39,32.77,32.02,0,0,3.19,11,9.24,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e32,2653,SSC22653,Walpa,LGA22110,59,62.77,58.08,24,25.53,32.02,6,6.38,3.19,5,5.32,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e33,925,SSC20925,Flora Hill,LGA22620,883,44.46,58.08,811,40.84,32.02,89,4.48,3.19,203,10.22,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e34,1863,SSC21863,Nanneella,LGA21370,133,62.15,58.08,70,32.71,32.02,6,2.8,3.19,5,2.34,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e35,1866,SSC21866,Nar Nar Goon,LGA21450,324,56.94,58.08,204,35.85,32.02,21,3.69,3.19,20,3.51,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e36,898,SSC20898,Fairy Dell,LGA21370,30,73.17,58.08,11,26.83,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e37,8,SSC20008,Addington,LGA20570,19,48.72,58.08,17,43.59,32.02,0,0,3.19,3,7.69,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e38,1867,SSC21867,Nar Nar Goon North,LGA21450,245,64.47,58.08,116,30.53,32.02,9,2.37,3.19,10,2.63,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e39,1868,SSC21868,Narbethong,LGA25620,59,52.21,58.08,37,32.74,32.02,4,3.54,3.19,13,11.5,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e3a,2352,SSC22352,Stony Creek,LGA21670,3,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e3b,1871,SSC21871,Nareewillock,LGA21270,13,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e3c,1872,SSC21872,Nariel Valley,LGA26670,27,62.79,58.08,11,25.58,32.02,0,0,3.19,5,11.63,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e3d,2641,SSC22641,Walkerville North,LGA26170,0,0,58.08,4,100,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e3e,1298,SSC21298,Katamatite,LGA24900,93,55.69,58.08,63,37.72,32.02,5,2.99,3.19,6,3.59,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e3f,6,SSC20006,Ada,LGA20830,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e40,7,SSC20007,Adams Estate,LGA20740,12,48,58.08,10,40,32.02,3,12,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e41,1376,SSC21376,Koondrook,LGA22250,200,49.02,58.08,170,41.67,32.02,23,5.64,3.19,15,3.68,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e42,1300,SSC21300,Katandra,LGA22830,29,63.04,58.08,17,36.96,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e43,11,SSC20011,Aire Valley,LGA21750,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e44,2722,SSC22722,Wee Wee Rup,LGA22250,11,57.89,58.08,8,42.11,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e45,1773,SSC21773,Mount Cole Creek,LGA20260,7,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e46,2828,SSC22828,Woodstock,LGA27070,32,51.61,58.08,25,40.32,32.02,0,0,3.19,5,8.06,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e47,12,SSC20012,Aireys Inlet,LGA26490,163,44.78,58.08,175,48.08,32.02,13,3.57,3.19,13,3.57,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e48,1886,SSC21886,Nathalia,LGA24900,461,56.98,58.08,280,34.61,32.02,34,4.2,3.19,34,4.2,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e49,1887,SSC21887,Natimuk,LGA23190,129,53.53,58.08,83,34.44,32.02,20,8.3,3.19,9,3.73,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e4a,13,SSC20013,Airly,LGA26810,44,64.71,58.08,24,35.29,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e4b,1415,SSC21415,Laen North,LGA21270,7,70,58.08,3,30,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e4c,1375,SSC21375,Koonda,LGA26430,0,0,58.08,3,100,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e4d,1687,SSC21687,Minyip,LGA27630,98,55.37,58.08,63,35.59,32.02,6,3.39,3.19,10,5.65,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e4e,1891,SSC21891,Navigators,LGA25150,60,50,58.08,46,38.33,32.02,9,7.5,3.19,5,4.17,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e4f,1893,SSC21893,Neds Corner,LGA24780,4,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e50,17,SSC20017,Albert Park,LGA25900,2066,65.55,58.08,872,27.66,32.02,94,2.98,3.19,120,3.81,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e51,2746,SSC22746,Westby,LGA22250,9,75,58.08,3,25,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e52,1934,SSC21934,Nine Mile,LGA23940,6,50,58.08,3,25,32.02,0,0,3.19,3,25,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e53,1935,SSC21935,Nintingbool,LGA22490,59,64.13,58.08,28,30.43,32.02,5,5.43,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e54,1587,SSC21587,Manorina,LGA22110,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e55,1597,SSC21597,Marlo,LGA22110,129,56.09,58.08,83,36.09,32.02,8,3.48,3.19,10,4.35,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e56,700,SSC20700,Dalyenong,LGA25810,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e57,1899,SSC21899,Neerim South,LGA20830,323,57.27,58.08,185,32.8,32.02,27,4.79,3.19,29,5.14,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e58,2578,SSC22578,Turtons Creek,LGA26170,0,0,58.08,6,66.67,32.02,0,0,3.19,3,33.33,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e59,724,SSC20724,Delacombe,LGA20570,1689,55.78,58.08,1025,33.85,32.02,108,3.57,3.19,206,6.8,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e5a,707,SSC20707,Darley,LGA25150,2539,60.83,58.08,1226,29.37,32.02,143,3.43,3.19,266,6.37,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e5b,236,SSC20236,Big Pats Creek,LGA27450,9,45,58.08,5,25,32.02,3,15,3.19,3,15,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e5c,309,SSC20309,Boweya North,LGA24900,17,51.52,58.08,8,24.24,32.02,4,12.12,3.19,4,12.12,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e5d,314,SSC20314,Box Hill South,LGA26980,2278,54.45,58.08,1484,35.47,32.02,111,2.65,3.19,311,7.43,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e5e,885,SSC20885,Eureka,LGA20570,126,48.09,58.08,98,37.4,32.02,10,3.82,3.19,28,10.69,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e5f,380,SSC20380,Bullaharre,LGA21830,8,72.73,58.08,3,27.27,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e60,517,SSC20517,Catumnal,LGA23940,4,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e61,701,SSC20701,Dalyston,LGA20740,154,53.1,58.08,99,34.14,32.02,16,5.52,3.19,21,7.24,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e62,702,SSC20702,Dandenong,LGA22670,6602,55.95,58.08,3346,28.36,32.02,247,2.09,3.19,1604,13.59,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e63,708,SSC20708,Darlimurla,LGA26170,8,50,58.08,8,50,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e64,2728,SSC22728,Welshmans Reef,LGA25430,51,52.04,58.08,40,40.82,32.02,0,0,3.19,7,7.14,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e65,1917,SSC21917,Newington,LGA20570,485,54.13,58.08,323,36.05,32.02,32,3.57,3.19,56,6.25,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e66,1951,SSC21951,North Bendigo,LGA22620,998,56.1,58.08,574,32.27,32.02,63,3.54,3.19,144,8.09,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e67,1952,SSC21952,North Blackwood,LGA22910,10,58.82,58.08,7,41.18,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e68,1956,SSC21956,North Wangaratta,LGA26700,82,56.16,58.08,53,36.3,32.02,3,2.05,3.19,8,5.48,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e69,2901,SSC22901,Yarrambat,LGA25710,492,58.29,58.08,296,35.07,32.02,24,2.84,3.19,32,3.79,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e6a,1297,SSC21297,Karyrie,LGA21270,7,70,58.08,0,0,32.02,3,30,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e6b,1454,SSC21454,Langi Logan,LGA20260,6,40,58.08,9,60,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e6c,709,SSC20709,Darlington,LGA25490,30,63.83,58.08,13,27.66,32.02,0,0,3.19,4,8.51,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e6d,1278,SSC21278,Kallista,LGA27450,425,55.12,58.08,297,38.52,32.02,23,2.98,3.19,26,3.37,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e6e,717,SSC20717,Dean,LGA22910,43,70.49,58.08,18,29.51,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e6f,1197,SSC21197,Horsham,LGA23190,3727,55.64,58.08,2310,34.48,32.02,274,4.09,3.19,388,5.79,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e70,341,SSC20341,Bringalbert,LGA26890,8,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e71,711,SSC20711,Darraweit Guim,LGA24130,132,57.39,58.08,64,27.83,32.02,15,6.52,3.19,19,8.26,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e72,1923,SSC21923,Newry,LGA26810,115,53.49,58.08,73,33.95,32.02,16,7.44,3.19,11,5.12,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e73,718,SSC20718,Deans Marsh,LGA26490,75,51.37,58.08,56,38.36,32.02,11,7.53,3.19,4,2.74,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e74,712,SSC20712,Darriman,LGA26810,7,50,58.08,4,28.57,32.02,0,0,3.19,3,21.43,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e75,2902,SSC22902,Yarraville,LGA24330,5460,64.24,58.08,2299,27.05,32.02,301,3.54,3.19,440,5.18,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e76,2903,SSC22903,Yarrawalla,LGA23940,25,64.1,58.08,14,35.9,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e77,1941,SSC21941,Noble Park North,LGA22670,1930,59.68,58.08,941,29.1,32.02,85,2.63,3.19,278,8.6,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e78,1942,SSC21942,Noojee,LGA20830,37,51.39,58.08,25,34.72,32.02,3,4.17,3.19,7,9.72,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e79,899,SSC20899,Fairy Dell,LGA22110,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e7a,789,SSC20789,Drumborg,LGA22410,54,68.35,58.08,25,31.65,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e7b,715,SSC20715,Dawson,LGA26810,15,55.56,58.08,9,33.33,32.02,3,11.11,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e7c,1949,SSC21949,Normanville,LGA22250,8,72.73,58.08,3,27.27,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e7d,721,SSC20721,Deep Lead,LGA25810,46,51.69,58.08,37,41.57,32.02,3,3.37,3.19,3,3.37,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e7e,716,SSC20716,Daylesford,LGA22910,500,45.21,58.08,504,45.57,32.02,54,4.88,3.19,48,4.34,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e7f,1962,SSC21962,Notting Hill,LGA24970,761,52.27,58.08,463,31.8,32.02,41,2.82,3.19,191,13.12,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e80,1969,SSC21969,Nullawarre,LGA25490,77,63.64,58.08,32,26.45,32.02,8,6.61,3.19,4,3.31,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e81,1457,SSC21457,Langsborough,LGA26810,19,48.72,58.08,12,30.77,32.02,0,0,3.19,8,20.51,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e82,728,SSC20728,Delegate River,LGA22110,8,57.14,58.08,6,42.86,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e83,1973,SSC21973,Nunawading,LGA26980,3345,57.36,58.08,1982,33.98,32.02,178,3.05,3.19,327,5.61,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e84,1978,SSC21978,Nurran,LGA22110,0,0,58.08,3,50,32.02,0,0,3.19,3,50,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e85,1213,SSC21213,Huon Creek,LGA27170,35,55.56,58.08,25,39.68,32.02,3,4.76,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e86,1981,SSC21981,Nyah West,LGA26610,107,55.15,58.08,58,29.9,32.02,5,2.58,3.19,24,12.37,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e87,731,SSC20731,Dennington,LGA26730,560,56.62,58.08,342,34.58,32.02,45,4.55,3.19,42,4.25,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e88,1985,SSC21985,Nyrraby,LGA26610,5,62.5,58.08,3,37.5,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e89,1579,SSC21579,Manangatang,LGA26610,81,63.28,58.08,43,33.59,32.02,4,3.13,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e8a,1999,SSC21999,Omeo,LGA22110,107,57.22,58.08,61,32.62,32.02,10,5.35,3.19,9,4.81,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e8b,733,SSC20733,Deptford,LGA22110,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e8c,1468,SSC21468,Laverton North,LGA27260,19,70.37,58.08,3,11.11,32.02,0,0,3.19,5,18.52,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e8d,1987,SSC21987,Oaklands Junction,LGA23270,147,65.92,58.08,65,29.15,32.02,5,2.24,3.19,6,2.69,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e8e,1992,SSC21992,Ocean Grange,LGA26810,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e8f,744,SSC20744,Dewhurst,LGA21450,49,51.58,58.08,39,41.05,32.02,4,4.21,3.19,3,3.16,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e90,920,SSC20920,Flaggy Creek,LGA22110,18,42.86,58.08,21,50,32.02,0,0,3.19,3,7.14,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e91,1284,SSC21284,Kancoona,LGA20110,27,64.29,58.08,15,35.71,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e92,2395,SSC22395,Swan Island,LGA26080,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e93,2022,SSC22022,Paradise Beach,LGA26810,23,45.1,58.08,17,33.33,32.02,3,5.88,3.19,8,15.69,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e94,735,SSC20735,Dereel,LGA22490,106,50.72,58.08,77,36.84,32.02,11,5.26,3.19,15,7.18,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e95,2002,SSC22002,Orbost,LGA22110,332,45.29,58.08,296,40.38,32.02,32,4.37,3.19,73,9.96,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e96,2004,SSC22004,Ormond,LGA22310,2680,58.53,58.08,1511,33,32.02,104,2.27,3.19,284,6.2,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e97,761,SSC20761,Doctors Flat,LGA22110,5,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e98,1601,SSC21601,Marong,LGA22620,439,63.35,58.08,197,28.43,32.02,28,4.04,3.19,29,4.18,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e99,2005,SSC22005,Orrvale,LGA22830,138,54.76,58.08,85,33.73,32.02,11,4.37,3.19,18,7.14,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e9a,2009,SSC22009,Ovens,LGA20110,53,50,58.08,48,45.28,32.02,5,4.72,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e9b,1233,SSC21233,Irrewarra,LGA21750,103,56.28,58.08,71,38.8,32.02,6,3.28,3.19,3,1.64,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e9c,736,SSC20736,Dergholm,LGA26890,15,65.22,58.08,8,34.78,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e9d,762,SSC20762,Dollar,LGA26170,19,73.08,58.08,7,26.92,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e9e,2759,SSC22759,Whitlands,LGA26700,8,53.33,58.08,7,46.67,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2e9f,1239,SSC21239,Jacana,LGA23270,465,53.76,58.08,259,29.94,32.02,24,2.77,3.19,117,13.53,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ea0,902,SSC20902,Fawcett,LGA25620,16,48.48,58.08,14,42.42,32.02,3,9.09,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ea1,1241,SSC21241,Jackass Flat,LGA22620,312,56.73,58.08,175,31.82,32.02,21,3.82,3.19,42,7.64,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ea2,2051,SSC22051,Petticoat Creek,LGA21750,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ea3,2904,SSC22904,Yarrawonga,LGA24900,1589,54.03,58.08,1033,35.12,32.02,156,5.3,3.19,163,5.54,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ea4,2016,SSC22016,Pakenham South,LGA21450,72,64.29,58.08,37,33.04,32.02,3,2.68,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ea5,2019,SSC22019,Panmure,LGA25490,137,64.62,58.08,58,27.36,32.02,13,6.13,3.19,4,1.89,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ea6,2035,SSC22035,Patterson Lakes,LGA23430,2384,60.48,58.08,1244,31.56,32.02,130,3.3,3.19,184,4.67,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ea7,2374,SSC22374,Sugarloaf,LGA21750,0,0,58.08,4,100,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ea8,1770,SSC21770,Mount Cameron,LGA21670,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ea9,2026,SSC22026,Parkville,LGA24600,1732,45.66,58.08,1404,37.02,32.02,164,4.32,3.19,493,13,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eaa,2028,SSC22028,Paschendale,LGA22410,9,69.23,58.08,4,30.77,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eab,903,SSC20903,Fawkner,LGA25250,2866,53.73,58.08,1729,32.41,32.02,151,2.83,3.19,588,11.02,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eac,2052,SSC22052,Pheasant Creek,LGA25620,106,67.52,58.08,39,24.84,32.02,5,3.18,3.19,7,4.46,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ead,2053,SSC22053,Piangil,LGA26610,77,66.96,58.08,28,24.35,32.02,7,6.09,3.19,3,2.61,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eae,2480,SSC22480,Terrick Terrick East,LGA21370,3,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eaf,2309,SSC22309,Spring Gully,LGA22620,766,53.53,58.08,522,36.48,32.02,59,4.12,3.19,84,5.87,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eb0,2038,SSC22038,Pearcedale,LGA21610,1139,55.97,58.08,728,35.77,32.02,77,3.78,3.19,91,4.47,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eb1,2039,SSC22039,Pearsondale,LGA26810,39,48.15,58.08,32,39.51,32.02,3,3.7,3.19,7,8.64,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eb2,1784,SSC21784,Mount Franklin,LGA22910,17,38.64,58.08,24,54.55,32.02,3,6.82,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eb3,2042,SSC22042,Pelluebla,LGA24900,8,57.14,58.08,6,42.86,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eb4,2504,SSC22504,Timboon West,LGA21830,13,61.9,58.08,8,38.1,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eb5,746,SSC20746,Diamond Creek,LGA25710,3960,58.54,58.08,2301,34.01,32.02,202,2.99,3.19,302,4.46,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eb6,821,SSC20821,East Bairnsdale,LGA22110,205,45.86,58.08,178,39.82,32.02,22,4.92,3.19,42,9.4,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eb7,2044,SSC22044,Penshurst,LGA26260,156,58.21,58.08,82,30.6,32.02,19,7.09,3.19,11,4.1,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eb8,2045,SSC22045,Pental Island,LGA26610,41,61.19,58.08,23,34.33,32.02,3,4.48,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eb9,739,SSC20739,Derrinallum,LGA21830,87,58.78,58.08,52,35.14,32.02,3,2.03,3.19,6,4.05,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2eba,2486,SSC22486,The Gurdies,LGA20740,49,59.04,58.08,27,32.53,32.02,3,3.61,3.19,4,4.82,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ebb,904,SSC20904,Fentons Creek,LGA23940,3,27.27,58.08,8,72.73,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ebc,2060,SSC22060,Pimpinio,LGA23190,49,55.68,58.08,32,36.36,32.02,3,3.41,3.19,4,4.55,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ebd,2061,SSC22061,Pine Grove,LGA21370,12,63.16,58.08,7,36.84,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ebe,2064,SSC22064,Pine View,LGA22250,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ebf,2065,SSC22065,Pioneer Bay,LGA20740,65,50,58.08,38,29.23,32.02,6,4.62,3.19,21,16.15,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ec0,1416,SSC21416,Lah,LGA27630,19,59.38,58.08,13,40.63,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ec1,1802,SSC21802,Mount Toolebewong,LGA27450,26,45.61,58.08,22,38.6,32.02,0,0,3.19,9,15.79,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ec2,2066,SSC22066,Pipers Creek,LGA24130,30,44.12,58.08,27,39.71,32.02,7,10.29,3.19,4,5.88,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ec3,2067,SSC22067,Pira,LGA26610,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ec4,905,SSC20905,Ferguson,LGA21750,3,25,58.08,9,75,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2ec5,1811,SSC21811,Muckatah,LGA24900,58,62.37,58.08,26,27.96,32.02,0,0,3.19,9,9.68,6.71,2016
